xcoord	ycoord
-891.313702323154	-1464.55002409986
-609.526667604209	-1457.75189222418
-416.254155651147	-1451.43819021161
-283.819861812302	-1470.76883038287
-83.9901215498551	-1472.08305733125
524.513138728317	-1468.85542600506
1074.89960703665	-1455.00078995993
1305.15341398371	-1457.4796057713
1562.12342139234	-1471.72041225685
1678.58689606118	-1451.11454172537
1166.78087869366	-1456.39571697769
-1380.19060645004	-1450.78229139627
951.311950971582	-1447.15566005073
423.508503186879	-1444.89949685758
-291.797249740131	-1415.96287030298
-522.94530100538	-1415.77955466722
267.571938102209	-1441.60582152213
27.772701410785402	-1410.4013625965
-155.191765944488	-1407.11128525799
1528.57839465062	-1413.71978244722
-47.2151531299853	-1412.33649439484
-857.878894711667	-1408.74848605909
-691.801622528688	-1413.91264024013
1422.26559965158	-1402.36257320908
1196.32162638355	-1379.64326727414
-1448.93129999093	-1420.6091668454
1630.26835652535	-1389.89733475506
193.319470655247	-1393.00942215426
100.690486433433	-1356.1422556453
776.752975649991	-1382.29580925315
-444.253457698645	-1367.47312258466
-783.695029661524	-1362.33378917095
993.859783101118	-1371.12861285459
1345.52944325305	-1356.71353290053
-653.438839086536	-1349.81256661668
-1268.40066250276	-1352.59778800572
-951.908972246171	-1363.70601438572
-302.644508044475	-1350.11336582271
1253.24828907164	-1347.18038021692
-1436.86921072781	-1347.63266587592
826.161073021478	-1338.70171913957
1104.95771599098	-1343.54920901103
227.448825159308	-1316.15168397101
-174.592581438705	-1300.82933169282
-31.9071204338438	-1310.75957946989
1301.87236527416	-1287.67111366434
-566.303951578188	-1290.02816017117
1580.52062190113	-1260.3768535438
-1014.68066693947	-1299.95668854184
1501.52871489134	-1287.161121787
1657.91656825249	-1310.10994669893
-360.119360129341	-1303.66624328606
-1403.45990995734	-1282.70161751143
-75.229287050013	-1257.21831195317
1438.03739874537	-1269.66303289
914.198219366684	-1276.76039277913
-449.980942769729	-1277.98646737509
1673.29174824705	-1237.67514038909
-795.477097072487	-1273.53646565228
257.080605605426	-1215.96478907862
-302.597303354688	-1228.42885493824
1036.51673709164	-1233.78066372946
1235.9711584137	-1222.47462880953
1377.37480858845	-1193.18829149279
-1031.72948751623	-1190.90984257644
65.4676043684158	-1193.79942991758
-1293.0515463214	-1205.62187633379
-904.942262853423	-1213.60390642946
-1437.30581680865	-1200.69782166168
-397.857258729654	-1197.89644739756
-219.808826916993	-1178.58432639757
-766.358629646261	-1180.76466004277
570.299253234878	-1193.50641219852
804.822770880943	-1194.1746691705
920.417403505386	-1195.26785824156
-92.2299692683569	-1169.02711413395
-483.834107236388	-1161.42629710522
-686.522924732206	-1166.33493091889
-609.719283343383	-1164.63852800058
1146.69610713199	-1116.49663263362
469.779578552698	-1121.98696982433
966.936961380472	-1135.94996268785
678.093577457062	-1131.04601342008
-1462.92593737914	-1088.8231200197
1634.05155096913	-1113.54246967333
-1333.72656489246	-1112.33906921898
841.796075415137	-1116.02768019223
759.033076513309	-1121.46695800242
1273.58235681272	-1103.04310210481
-853.425694253297	-1108.76876780367
1476.1235884379	-1067.40379475667
-22.9755905244949	-1085.58610574567
1014.50475782359	-1049.95623772516
-239.626557947329	-1064.04831469386
-375.485448555109	-1063.31452566422
894.228520175048	-1050.72066937635
-739.76679715086	-1052.9695217906
760.864297832756	-1028.69311059678
-30.9063850607445	-1027.546547616
-1366.68133430766	-1023.43750759957
1338.64045668116	-1011.52749415332
-495.530088669673	-1013.77510170119
1189.64633994736	-997.265859995107
282.707899272447	-957.385031862185
1659.69527261476	-999.085215460457
-1241.91143227289	-996.651699463689
704.019326628407	-937.179156898237
882.957280269416	-966.867834799754
1569.26734352282	-978.397456126233
466.848657655711	-918.550682356984
-1426.26141805501	-969.447550526699
-37.720164056796	-938.719113844363
-455.477777855212	-942.011105119519
1199.49601565003	-922.770435810435
-261.539227187521	-934.652797195955
-690.685664636629	-922.928853962996
1526.90871782983	-889.806197671694
1335.09329711337	-895.224047982834
1078.15860867058	-901.7881657118
1417.49827712091	-879.683218550129
-982.272768065144	-889.217461707515
-389.600255966657	-880.613455244652
954.741001392903	-900.759159214879
-1280.88857919739	-878.356678213354
-1461.72009114364	-856.770202528042
1687.6664468944	-877.750973885204
-1406.07615737014	-849.486625942838
991.590505969074	-846.538095809292
880.839729850184	-869.682488193904
1631.91380371626	-837.792546177327
-551.740748500263	-870.616028272498
1158.88431088139	-845.888821303604
-789.03174621437	-855.879924844151
-1351.44050310604	-823.927369923021
1266.71149655046	-839.006620561843
517.000897252942	-790.606924606126
809.907122351751	-824.11824041652
673.886884186421	-808.920851105212
413.968990678015	-785.170118247547
755.982149650573	-787.634156455634
-951.546538857039	-777.041070128193
1362.28669058281	-779.397013893506
868.032232166685	-733.260899825345
1072.08260251656	-771.923859783691
1200.18160175701	-771.199250893485
1627.72962700062	-748.747180698523
-724.188002472571	-759.907985617952
1475.98911503434	-754.46831166709
597.045551997037	-728.982904546444
-344.885185380623	-745.635990624808
-1347.80618821044	-697.11057764731
1339.30292961893	-674.169411254854
967.201646748117	-721.289108622923
1042.28798338684	-693.107209548733
56.9908550372211	-702.848929681732
1532.68973163459	-721.809287165054
1146.9376632839	-705.593050996868
-1447.39761963716	-680.068828401366
692.23804782482	-679.419075771611
-480.262373328764	-671.696882149077
1262.60088867645	-679.315568365447
-782.841592705592	-649.881442012453
1174.48443169546	-660.025931822359
411.931954522298	-663.099618129988
273.707271316196	-695.13612064538
-712.5510182882	-641.97748356701
-1125.45519644517	-645.112727471724
-1012.98191491157	-653.992976451724
929.491391599634	-628.701692053255
760.410125184112	-617.684007069559
1369.72513395098	-625.628991196007
154.639127049631	-656.786984312299
538.446078402472	-630.024457818145
1602.77597326653	-633.302398233011
1494.54044486169	-612.750802318837
-286.589889512629	-600.163527398607
1671.50442360853	-633.845195753632
-630.390657923976	-603.240973194137
1078.55369946308	-597.636192828614
-1119.35143498214	-590.558582757095
974.501886331608	-574.477836054514
838.20637430544	-598.518363312912
